#{"t_start": 1635706876.9546955, "env_id": "WurtzReact-v1"}
r,l,t
1.131636,20,498.493283
1.131281,20,500.387715
1.132524,20,502.268123
1.132233,20,504.161981
1.131972,20,506.067879
1.131831,20,507.948503
1.132023,20,509.833465
1.13208,20,511.735156
1.13221,20,513.612162
1.13229,20,515.494375
1.132294,20,517.38127
1.132289,20,519.258323
1.132575,20,521.15331
1.133029,20,523.04637
1.133418,20,524.924973
1.133913,20,526.817191
1.133969,20,528.718853
1.13525,20,530.599087
1.134981,20,532.488068
1.135511,20,534.390136
1.135271,20,536.276837
1.13505,20,538.169292
1.134889,20,540.04641
1.13546,20,541.92763
1.13572,20,543.819677
1.135401,20,545.708869
1.135896,20,547.58295
1.136021,20,549.471555
1.136122,20,551.345957
1.136397,20,553.219986
1.136532,20,555.09546
1.136782,20,557.002795
1.136783,20,558.878875
1.136088,20,560.765939
1.136525,20,562.671807
1.136919,20,564.536913
1.136589,20,566.423472
1.136742,20,568.334075
1.136624,20,570.224699
1.136458,20,572.113825
1.136824,20,573.997897
1.136478,20,575.897043
1.137042,20,577.803392
1.137004,20,579.685362
1.13786,20,581.566505
1.137645,20,583.475307
1.137584,20,585.349931
1.137733,20,587.252802
1.137789,20,589.160097
1.137961,20,591.056795
1.137924,20,592.951351
1.1383,20,594.858585
1.13843,20,596.745919
1.138779,20,598.64298
1.138857,20,600.547258
1.139567,20,602.434083
1.139755,20,604.329449
1.140904,20,606.237975
1.140751,20,608.116452
1.140689,20,610.015574
1.140887,20,611.915734
1.141136,20,613.804726
1.141402,20,615.70177
1.142188,20,617.610823
1.141878,20,619.495299
1.142003,20,621.386952
1.142117,20,623.282429
1.141931,20,625.158311
1.141793,20,627.055805
1.142286,20,628.950272
1.141508,20,630.834254
1.141573,20,632.729585
1.141564,20,634.62785
1.141509,20,636.518625
1.14152,20,638.414476
1.14138,20,640.317473
1.141694,20,642.20072
1.142015,20,644.094477
1.142129,20,645.994448
1.142867,20,647.876117
1.142929,20,649.775042
1.142941,20,651.67075
1.143298,20,653.558294
1.144253,20,655.450403
1.144505,20,657.350757
1.144645,20,659.230936
1.144912,20,661.12952
1.14488,20,663.032055
1.144575,20,664.92977
1.145077,20,666.828079
1.145491,20,668.706101
1.145713,20,670.595718
1.146133,20,672.49825
1.146067,20,674.379376
1.146171,20,676.255581
1.146286,20,678.163273
1.145972,20,680.041003
1.145836,20,681.933389
1.146747,20,683.846486
1.14726,20,685.726402
1.147588,20,687.614183
1.147366,20,689.518309
1.147742,20,691.395015
1.147781,20,693.281262
1.14828,20,695.17824
1.149197,20,697.051954
1.14914,20,698.940447
1.149565,20,700.825845
1.149663,20,702.69863
1.149443,20,704.579444
1.149949,20,706.481708
1.150457,20,708.373152
1.150814,20,710.265938
1.151025,20,712.16643
1.151483,20,714.046282
1.151563,20,715.930766
1.152132,20,717.820136
1.152125,20,719.693134
1.152442,20,721.58573
1.152877,20,723.469138
1.153476,20,725.34366
1.15356,20,727.234822
1.153257,20,729.126357
1.153253,20,731.012445
1.153395,20,732.890653
1.153793,20,734.774235
1.153674,20,736.656036
1.153704,20,738.535701
1.153576,20,740.44668
1.154079,20,742.324559
1.153903,20,744.214808
1.154084,20,746.106432
1.154106,20,747.984621
1.154246,20,749.868132
1.154043,20,751.751726
1.153915,20,753.635622
1.154693,20,755.52576
1.154658,20,757.420335
1.155722,20,759.31077
1.155942,20,761.217408
1.156184,20,763.100281
1.156865,20,764.992989
1.156862,20,766.897356
1.156687,20,768.774837
1.157525,20,770.665896
1.158328,20,772.55798
1.159057,20,774.442112
1.159711,20,776.332025
1.160165,20,778.235514
1.160561,20,780.107828
1.161366,20,781.995158
1.162012,20,783.884273
1.162619,20,785.769263
1.163684,20,787.644872
1.164776,20,789.537572
1.165844,20,791.424108
1.166904,20,793.313413
1.167754,20,795.217963
1.16866,20,797.092846
1.169618,20,798.980923
1.169482,20,800.874604
1.169895,20,802.757834
1.17087,20,804.653199
1.171852,20,806.543618
1.172996,20,808.430841
1.173349,20,810.318567
1.174369,20,812.21187
1.175301,20,814.089023
1.176174,20,815.982083
1.176313,20,817.891459
1.177107,20,819.777493
1.177162,20,821.672506
1.17702,20,823.577829
1.177711,20,825.462989
1.177628,20,827.367735
1.178297,20,829.270398
1.178398,20,831.157104
1.179283,20,833.050204
1.18016,20,834.94773
1.18065,20,836.832271
1.181564,20,838.728551
1.182438,20,840.625962
1.183289,20,842.507154
1.184177,20,844.398446
1.185025,20,846.307856
1.185554,20,848.189409
1.186483,20,850.083452
1.186443,20,851.984054
1.18739,20,853.880891
1.188148,20,855.780846
1.188176,20,857.653925
1.188338,20,859.538285
1.18802,20,861.448557
1.188163,20,863.330253
1.188043,20,865.229183
1.187832,20,867.123851
1.18832,20,869.008918
