#{"t_start": 1673361826.7080061, "env_id": "WurtzExtract-v1"}
r,l,t
0.333333,2,7.675762
0.333333,2,7.68331
0.333333,1,7.685148
0.333333,1,7.686994
0.333333,3,7.700778
0.333333,1,7.702633
0.333333,2,7.710357
0.333333,1,7.712192
0.333333,1,7.714074
0.333333,1,7.715913
0.166667,2,7.725324
0.333333,2,7.733045
0.333333,1,7.734948
0.333333,5,7.762133
0.333333,1,7.763994
0.166667,2,7.773358
0.333333,5,7.798589
0.333333,1,7.800447
0.333333,2,7.809278
0.333333,2,7.816778
0.333333,2,7.825286
0.166667,4,7.85242
0.333333,1,7.854445
0.333333,1,7.856415
0.333333,2,7.864311
0.333333,2,7.872076
0.333333,1,7.873992
0.333333,1,7.87604
0.166667,3,7.893639
0.333333,2,7.901422
0.333333,1,7.903361
0.333333,1,7.905254
0.333333,1,7.907182
0.333333,2,7.915067
0.333333,1,7.916972
-0.666667,3,7.931487
0.333333,1,7.933446
0.333333,1,7.935299
-0.666667,6,7.969814
0.333333,4,7.988928
0.333333,2,7.996726
0.333333,1,7.998678
0.333333,3,8.013507
0.333333,1,8.015384
0.333333,1,8.017234
0.333333,1,8.019235
0.333333,2,8.028073
0.333333,1,8.029943
0.166667,2,8.041125
0.333333,2,8.04875
0.333333,1,8.050765
0.166667,2,8.062469
0.333333,3,8.076559
0.333333,1,8.078579
0.333333,1,8.080476
0.333333,1,8.082408
0.333333,1,8.084266
0.333333,1,8.086355
0.333333,1,8.088286
0.166667,3,8.10504
0.333333,4,8.125373
0.333333,1,8.127291
0.333333,1,8.1292
0.333333,1,8.13119
0.333333,1,8.133121
0.333333,1,8.135082
0.333333,1,8.136915
0.333333,1,8.138791
0.333333,3,8.173923
0.333333,1,8.176175
0.333333,2,8.184108
0.333333,2,8.191954
0.333333,1,8.193968
0.333333,1,8.195891
0.333333,1,8.197844
0.333333,1,8.199954
0.333333,2,8.207714
0.333333,1,8.209662
0.333333,2,8.217335
0.333333,2,8.225198
0.333333,1,8.227105
0.166667,3,8.243181
0.333333,1,8.245043
0.333333,2,8.252988
0.333333,1,8.255006
0.333333,2,8.262679
0.333333,1,8.264644
0.333333,1,8.266797
0.333333,2,8.274433
0.333333,1,8.276403
0.333333,1,8.278377
0.166667,2,8.289774
0.333333,1,8.291722
0.333333,1,8.294241
0.333333,3,8.308098
0.333333,1,8.310004
0.333333,1,8.312013
0.333333,1,8.313927
0.333333,1,8.315797
0.333333,1,8.317865
0.333333,1,8.319795
0.333333,1,8.321804
0.333333,2,8.329359
0.333333,1,8.331294
0.333333,1,8.333205
0.333333,1,8.335302
0.333333,1,8.337136
0.333333,2,8.344824
0.166667,2,8.35614
0.333333,1,8.358145
0.333333,1,8.360057
0.333333,3,8.373902
0.333333,1,8.375852
0.333333,1,8.377896
0.333333,1,8.379772
0.333333,1,8.381663
0.333333,1,8.383608
0.333333,1,8.385716
0.333333,2,8.393485
0.333333,1,8.395399
0.333333,1,8.397373
0.333333,1,8.399378
0.333333,1,8.401347
0.333333,1,8.403443
0.333333,1,8.405326
0.166667,2,8.416833
0.333333,1,8.4188
0.333333,1,8.420634
0.166667,2,8.430169
0.333333,2,8.438113
0.333333,1,8.439972
0.333333,1,8.441887
0.333333,1,8.44382
0.333333,1,8.44585
0.333333,1,8.447773
0.333333,3,8.462806
0.333333,1,8.464664
0.333333,1,8.466617
0.333333,2,8.475652
0.333333,1,8.477603
0.333333,1,8.479571
0.333333,1,8.481683
0.333333,1,8.48355
0.166667,2,8.494922
0.333333,1,8.496821
-0.666667,2,8.505687
0.333333,1,8.507667
0.333333,1,8.509689
0.333333,2,8.517516
0.333333,2,8.525234
0.333333,1,8.527219
0.111111,3,8.547303
0.333333,1,8.549272
0.333333,3,8.563191
0.333333,1,8.56507
0.333333,1,8.567044
0.333333,1,8.568956
0.333333,1,8.570892
0.333333,1,8.572813
-0.666667,2,8.581991
0.333333,1,8.583959
-0.833333,7,8.652779
0.333333,1,8.654716
0.333333,1,8.656579
0.333333,1,8.658491
0.333333,1,8.661015
0.166667,3,8.67656
0.333333,1,8.678506
0.333333,2,8.68736
0.333333,1,8.689205
0.333333,1,8.691167
0.333333,1,8.693154
0.333333,2,8.700909
0.333333,1,8.702787
0.333333,2,8.710357
0.333333,1,8.712209
0.166667,2,8.723553
0.333333,1,8.725577
0.333333,1,8.727499
0.333333,1,8.729383
0.333333,2,8.736911
0.333333,1,8.738819
0.333333,1,8.740669
0.333333,1,8.742862
0.333333,1,8.744828
0.333333,1,8.746778
0.333333,1,8.748704
0.333333,1,8.75067
0.333333,2,8.758704
0.333333,2,8.766708
0.333333,1,8.768583
0.333333,1,8.77047
0.333333,1,8.772342
0.333333,1,8.774316
0.333333,1,8.776178
0.333333,1,8.77819
0.333333,1,8.780051
0.333333,1,8.781942
0.333333,1,8.783804
0.333333,1,8.78572
0.333333,2,8.793688
0.333333,1,8.795695
0.166667,2,8.807017
0.333333,1,8.808876
0.333333,1,8.810734
0.333333,1,8.812612
0.333333,1,8.814498
0.333333,2,8.822461
0.333333,1,8.824311
0.333333,1,8.826196
0.333333,1,8.828065
0.333333,1,8.829932
0.333333,1,8.831834
0.333333,2,8.839456
0.333333,1,8.841411
0.333333,1,8.843321
0.166667,2,8.854722
0.333333,1,8.856583
0.333333,1,8.85847
0.333333,1,8.860444
0.333333,1,8.862307
0.333333,1,8.864158
0.333333,1,8.866066
0.333333,1,8.867938
0.333333,1,8.869844
0.333333,1,8.871929
0.333333,1,8.873806
0.333333,1,8.875656
0.333333,2,8.883244
0.333333,2,8.891115
0.333333,1,8.893098
0.111111,3,8.913067
0.333333,1,8.915112
0.333333,1,8.91705
0.333333,1,8.918961
0.166667,2,8.930294
0.333333,5,8.956564
0.333333,1,8.959152
0.333333,1,8.961114
0.333333,1,8.962966
0.333333,1,8.96483
0.333333,1,8.966752
0.333333,1,8.96861
0.333333,1,8.970642
0.333333,1,8.972539
0.333333,1,8.97448
0.333333,1,8.976359
0.333333,1,8.978311
0.333333,1,8.980213
0.333333,1,8.982282
0.333333,3,8.996177
0.111111,5,9.030622
0.166667,2,9.041982
0.333333,1,9.064989
0.333333,1,9.067194
0.333333,1,9.069384
0.333333,1,9.071465
0.333333,1,9.073521
0.333333,1,9.075428
0.333333,2,9.083259
0.333333,1,9.085164
0.333333,1,9.08722
0.333333,2,9.094791
0.333333,2,9.10255
0.333333,1,9.104531
0.333333,1,9.106508
0.333333,1,9.108441
0.333333,1,9.110535
0.333333,1,9.112517
0.333333,1,9.114467
0.333333,1,9.116323
0.333333,1,9.118337
0.333333,1,9.120268
0.333333,2,9.128293
0.333333,1,9.130188
0.333333,1,9.132069
0.333333,1,9.133996
0.333333,1,9.135952
0.333333,1,9.13785
0.333333,1,9.139916
0.333333,1,9.141862
0.333333,1,9.143831
0.166667,2,9.155309
0.333333,1,9.157223
0.333333,1,9.159218
0.166667,2,9.168967
0.333333,2,9.176611
0.333333,1,9.178611
0.333333,1,9.180537
0.333333,1,9.182524
0.333333,1,9.184353
0.333333,1,9.186369
0.333333,1,9.188277
0.333333,1,9.190187
0.333333,1,9.192045
0.333333,2,9.19995
0.333333,1,9.201845
0.333333,1,9.203887
0.333333,2,9.211761
0.166667,2,9.223143
0.333333,1,9.225085
0.333333,1,9.227059
0.333333,1,9.228993
0.333333,1,9.231054
0.333333,1,9.232968
0.333333,2,9.2407
0.333333,1,9.242669
0.333333,1,9.244615
0.333333,1,9.246614
0.333333,2,9.254807
0.333333,3,9.268782
0.333333,2,9.27649
0.333333,1,9.278419
0.333333,1,9.280283
0.333333,1,9.282177
0.333333,1,9.284187
0.333333,3,9.29806
0.333333,1,9.29989
0.333333,1,9.3018
0.333333,1,9.303693
0.333333,1,9.305547
0.333333,2,9.313409
0.333333,1,9.31533
0.333333,1,9.317303
0.333333,4,9.337211
0.333333,1,9.339116
0.333333,1,9.341002
0.333333,1,9.343128
0.333333,1,9.345008
0.333333,1,9.346909
0.333333,1,9.348814
0.333333,1,9.350808
0.333333,1,9.352705
0.333333,1,9.354752
0.333333,1,9.356637
0.166667,2,9.368056
0.333333,1,9.369949
0.333333,1,9.371903
0.333333,1,9.373869
0.333333,1,9.375939
0.333333,2,9.383905
0.333333,3,9.397692
0.333333,1,9.399757
0.333333,1,9.401786
0.333333,1,9.403851
0.166667,2,9.415416
0.333333,1,9.417442
0.333333,1,9.419341
0.333333,2,9.427091
0.333333,1,9.42916
0.333333,3,9.442865
0.333333,1,9.444978
0.333333,1,9.468175
0.333333,1,9.470612
0.333333,1,9.472695
0.333333,3,9.489734
0.333333,2,9.49842
0.333333,1,9.500635
0.333333,1,9.503014
0.333333,1,9.505156
0.333333,1,9.507312
0.333333,2,9.516094
-0.666667,3,9.531086
0.333333,1,9.533026
0.333333,1,9.535074
0.333333,1,9.536929
0.333333,1,9.538917
0.333333,2,9.546517
0.333333,1,9.548469
0.333333,1,9.550413
0.333333,1,9.552437
0.333333,1,9.554381
0.333333,1,9.556221
0.333333,1,9.558191
0.333333,1,9.560292
0.333333,2,9.567952
0.333333,1,9.569984
0.333333,1,9.571859
0.333333,1,9.573763
0.333333,1,9.575627
0.333333,1,9.577537
0.333333,1,9.579467
0.333333,1,9.582038
0.333333,1,9.583859
0.333333,2,9.59145
0.333333,1,9.593387
0.333333,1,9.595381
0.333333,1,9.597255
0.333333,1,9.599335
0.333333,1,9.601209
0.333333,1,9.603123
0.333333,1,9.604982
0.333333,1,9.606879
0.333333,1,9.60877
0.333333,1,9.610798
0.333333,1,9.612692
0.333333,1,9.61464
0.333333,1,9.61655
0.333333,1,9.618506
0.333333,1,9.620443
0.333333,1,9.622497
0.333333,1,9.624408
0.333333,1,9.626309
0.333333,1,9.628205
0.333333,3,9.643205
0.333333,2,9.650849
0.166667,2,9.660546
0.333333,1,9.662494
0.333333,2,9.670164
0.333333,1,9.672116
0.333333,1,9.674017
0.333333,1,9.675899
0.333333,1,9.677899
0.333333,1,9.679747
0.333333,1,9.681656
0.333333,1,9.683579
0.333333,1,9.685512
0.333333,2,9.693384
0.333333,1,9.695431
0.333333,3,9.709086
0.333333,1,9.711028
0.333333,1,9.71294
0.333333,1,9.71488
0.333333,1,9.716783
0.333333,1,9.718853
0.333333,2,9.726651
0.333333,1,9.728558
0.333333,2,9.736402
0.333333,1,9.738381
0.333333,2,9.746058
0.333333,1,9.748081
0.333333,1,9.750092
0.333333,1,9.752097
0.333333,1,9.754005
0.333333,1,9.755923
0.333333,1,9.75791
0.333333,2,9.765879
0.333333,1,9.767834
0.333333,1,9.769831
0.333333,1,9.771726
0.333333,1,9.773657
0.333333,1,9.775541
0.333333,1,9.777661
0.333333,1,9.779579
0.333333,1,9.781534
0.333333,1,9.783517
0.333333,1,9.785474
0.333333,1,9.787562
0.333333,1,9.789637
0.333333,1,9.791576
0.333333,2,9.799343
0.333333,1,9.801292
0.333333,1,9.803267
0.333333,1,9.80521
0.333333,1,9.80764
0.333333,1,9.809509
0.333333,1,9.811387
0.166667,2,9.843978
0.333333,1,9.846329
0.333333,1,9.848263
0.333333,1,9.850146
0.333333,1,9.852188
0.333333,1,9.854056
0.333333,1,9.855924
0.333333,1,9.857845
0.333333,1,9.859693
0.333333,1,9.86161
0.333333,2,9.869679
0.333333,1,9.8715
0.333333,1,9.873374
0.333333,1,9.875322
0.333333,1,9.877228
0.333333,2,9.884875
0.333333,1,9.886979
0.333333,1,9.888919
0.333333,1,9.89085
0.333333,3,9.90832
0.333333,1,9.910241
0.333333,1,9.912163
0.333333,1,9.914273
0.333333,1,9.916199
0.333333,1,9.918123
0.333333,1,9.920047
0.333333,1,9.921952
0.333333,1,9.923843
0.333333,1,9.925885
0.333333,1,9.927785
0.333333,1,9.929712
0.333333,1,9.931638
0.333333,1,9.933609
0.333333,1,9.935582
0.333333,1,9.937704
0.333333,2,9.945352
0.333333,1,9.947357
0.333333,2,9.95514
0.333333,1,9.957053
0.333333,1,9.95895
0.333333,1,9.960996
0.333333,1,9.962942
0.333333,1,9.964889
0.333333,1,9.966851
0.333333,1,9.968802
0.333333,1,9.970818
0.333333,1,9.972868
0.333333,1,9.974874
0.333333,1,9.976827
0.333333,1,9.978823
0.333333,1,9.98075
0.333333,1,9.982741
0.333333,1,9.984744
0.333333,3,9.998513
0.333333,1,10.00049
0.333333,1,10.002487
0.333333,1,10.004418
0.333333,1,10.006362
0.333333,1,10.00844
0.333333,1,10.010477
0.333333,1,10.012397
0.333333,1,10.014419
0.333333,1,10.016361
0.333333,1,10.018337
0.333333,1,10.020392
0.166667,3,10.038069
0.333333,1,10.040058
0.333333,1,10.041961
0.333333,1,10.043891
0.333333,1,10.045829
0.333333,1,10.048272
0.333333,1,10.050209
0.333333,1,10.052082
0.333333,1,10.053993
0.333333,1,10.055871
0.333333,1,10.057776
0.333333,1,10.059843
0.333333,2,10.068656
0.333333,1,10.070594
0.333333,1,10.072479
0.333333,1,10.07439
0.333333,1,10.076229
0.333333,1,10.078305
0.333333,1,10.080172
0.333333,1,10.08209
0.333333,1,10.083936
0.333333,1,10.085825
0.333333,1,10.087809
0.333333,1,10.089897
0.333333,1,10.091782
0.333333,1,10.093703
0.333333,1,10.095573
0.333333,1,10.097425
0.333333,1,10.099269
0.333333,3,10.112497
0.333333,1,10.114338
0.333333,1,10.116218
0.333333,1,10.118074
0.333333,1,10.119926
0.333333,1,10.121845
0.333333,1,10.123847
0.333333,1,10.125743
0.333333,1,10.127602
0.333333,1,10.129466
0.333333,1,10.131354
0.333333,1,10.133309
0.333333,1,10.135454
0.333333,2,10.143034
0.333333,1,10.14491
0.333333,1,10.146799
0.333333,1,10.148673
0.333333,1,10.150536
0.333333,1,10.152532
0.333333,1,10.154459
0.333333,1,10.177067
0.166667,2,10.188807
0.333333,1,10.190763
0.333333,1,10.192673
0.333333,1,10.194615
0.333333,1,10.196673
0.333333,1,10.198594
0.333333,1,10.200503
0.333333,1,10.202465
0.333333,1,10.204322
0.333333,1,10.206222
0.333333,1,10.208194
0.333333,1,10.210174
0.333333,1,10.212003
0.333333,1,10.213934
0.333333,1,10.215952
0.333333,2,10.223822
0.333333,1,10.225941
0.333333,1,10.22781
0.333333,1,10.229714
0.333333,1,10.231657
0.333333,1,10.233514
0.333333,2,10.2425
0.333333,1,10.244514
0.333333,1,10.246557
0.333333,1,10.248432
0.333333,2,10.255948
0.333333,1,10.257833
0.333333,1,10.259806
0.333333,1,10.262384
0.333333,3,10.276284
0.333333,1,10.27827
0.333333,1,10.280181
0.333333,1,10.28212
0.333333,1,10.284063
0.333333,1,10.286151
0.333333,2,10.293751
0.333333,1,10.295634
0.333333,1,10.297547
0.333333,1,10.299507
0.333333,1,10.301479
0.333333,1,10.303609
0.333333,1,10.305556
0.333333,1,10.307523
0.333333,1,10.309481
0.333333,1,10.311526
0.333333,1,10.313606
0.333333,1,10.315649
0.333333,1,10.31765
0.333333,1,10.319579
0.333333,1,10.321478
0.333333,1,10.323481
0.333333,1,10.325426
0.333333,1,10.327528
-0.666667,2,10.336422
0.333333,1,10.338389
0.333333,1,10.340302
0.333333,2,10.348107
0.333333,1,10.350034
0.333333,1,10.352128
0.333333,1,10.354069
0.333333,1,10.355955
0.333333,1,10.357903
0.333333,1,10.35981
0.333333,3,10.373438
0.333333,1,10.375594
0.333333,1,10.377619
0.333333,1,10.379538
0.333333,1,10.381448
0.333333,1,10.383384
0.333333,1,10.385341
0.333333,1,10.387456
0.333333,1,10.389452
0.333333,1,10.391429
