#{"t_start": 1674007728.5418468, "env_id": "WurtzDistill-v1"}
r,l,t
0.2,4,9.68048
-2.8,12,9.757811
-1.8,18,9.872162
0.2,8,9.916871
0.2,1,9.918403
0.2,9,9.972059
0.2,5,10.005689
0.2,6,10.039564
0.2,2,10.044665
-0.8,13,10.134144
0.2,4,10.153819
0.2,1,10.155386
0.2,2,10.162747
0.2,10,10.221082
0.2,4,10.241217
0.2,8,10.293392
0.2,2,10.304094
0.2,3,10.323298
0.2,7,10.3708
0.2,6,10.407541
0.2,10,10.468865
0.2,8,10.52071
0.2,3,10.537747
0.2,6,10.584714
0.2,9,10.645247
0.2,11,10.721213
-0.8,19,10.845072
0.2,7,10.884211
0.2,2,10.891461
0.2,8,10.934645
0.2,10,10.993948
0.2,3,11.013929
0.2,6,11.051626
0.2,2,11.059647
0.2,1,11.061213
0.2,1,11.062746
0.2,2,11.070024
0.2,9,11.118894
0.2,6,11.151249
0.2,4,11.174981
0.2,2,11.182259
0.2,2,11.192286
0.2,5,11.219039
0.2,1,11.220579
0.2,1,11.222107
0.2,2,11.232849
0.2,3,11.24864
-0.8,7,11.292753
0.2,2,11.302727
0.2,4,11.32551
0.2,2,11.335543
0.2,6,11.368086
0.2,1,11.369617
0.2,5,11.395213
0.2,3,11.411466
0.2,3,11.425256
0.2,15,11.532074
0.2,2,11.539332
0.2,1,11.540869
0.2,2,11.551823
0.2,2,11.55987
0.2,5,11.595196
0.2,4,11.61628
0.2,7,11.659585
0.2,10,11.723294
0.2,5,11.75097
0.2,10,11.813502
0.2,3,11.827277
0.2,1,11.828812
0.2,12,11.917902
0.2,8,11.967268
0.2,1,11.968812
0.2,9,12.026144
0.2,5,12.058278
0.2,4,12.081019
0.2,11,12.147977
0.2,1,12.149531
0.2,3,12.16326
0.2,10,12.227255
0.2,5,12.256953
-0.8,5,12.283547
0.2,2,12.291579
0.2,2,12.299559
0.2,3,12.313923
0.2,5,12.341099
0.2,3,12.355488
0.2,6,12.39991
0.2,11,12.471251
0.2,4,12.494597
0.2,7,12.536234
0.2,3,12.553415
0.2,1,12.554954
0.2,11,12.628811
0.2,10,12.695846
-0.8,15,12.796774
0.2,1,12.798318
0.2,14,12.896322
0.2,10,12.961453
0.2,4,12.981724
0.2,11,13.062229
0.2,9,13.115904
0.2,8,13.161368
0.2,1,13.162908
0.2,1,13.164444
0.2,7,13.213464
0.2,2,13.221457
0.2,6,13.254681
0.2,2,13.265352
0.2,1,13.266894
-1.8,13,13.352668
0.2,7,13.3921
0.2,11,13.467924
0.2,8,13.516163
0.2,3,13.535209
0.2,8,13.57922
0.2,8,15.049342
-0.8,8,15.098074
0.2,1,15.099624
0.2,8,15.147334
0.2,1,15.149173
0.2,2,15.157199
0.2,3,15.177773
-0.8,8,15.226484
0.2,19,15.364306
0.2,1,15.365853
0.2,6,15.402109
0.2,2,15.412948
0.2,2,15.423734
0.2,1,15.42527
0.2,4,15.451704
0.2,3,15.466121
0.2,3,15.480542
0.2,3,15.497102
0.2,6,15.532926
0.2,1,15.534458
0.2,5,15.570911
0.2,1,15.572462
0.2,17,15.676862
0.2,1,15.678404
0.2,1,15.679941
0.2,4,15.703576
0.2,2,15.711643
0.2,1,15.713188
0.2,2,15.721129
0.2,5,15.752445
0.2,3,15.766147
0.2,4,15.787014
0.2,2,15.795165
0.2,3,15.809736
0.2,2,15.820454
0.2,3,15.834261
0.2,1,15.835802
0.2,4,15.858084
0.2,2,15.865382
0.2,5,15.896462
0.2,2,15.906523
0.2,1,15.908134
0.2,2,15.916098
0.2,2,15.924092
0.2,8,15.976348
0.2,1,15.977887
0.2,2,15.988661
0.2,2,15.996586
0.2,1,15.998121
0.2,1,15.999656
0.2,1,16.001195
0.2,7,16.043269
0.2,5,16.07407
0.2,2,16.081404
0.2,2,16.089345
0.2,1,16.090879
0.2,4,16.119931
0.2,5,16.153567
0.2,10,16.211772
0.2,1,16.213317
0.2,1,16.215009
0.2,6,16.24669
0.2,3,16.26455
0.2,1,16.266105
0.2,2,16.274114
0.2,1,16.275648
0.2,3,16.29008
0.2,1,16.291617
0.2,1,16.293149
0.2,5,16.324959
0.2,2,16.332244
0.2,1,16.333777
0.2,1,16.335305
0.2,1,16.33684
0.2,3,16.350757
0.2,6,16.384135
0.2,4,16.413144
0.2,1,16.414717
0.2,3,16.429166
0.2,4,16.450118
0.2,1,16.451658
0.2,1,16.453196
0.2,1,16.454724
0.2,1,16.456254
0.2,1,16.457788
0.2,5,16.488064
0.2,1,16.489604
0.2,6,16.530776
0.2,2,16.541695
0.2,1,16.543242
0.2,9,16.59594
0.2,1,16.597482
0.2,3,16.611931
0.2,7,16.650472
0.2,1,16.652025
0.2,1,16.653555
0.2,5,16.680466
0.2,5,16.703742
0.2,2,16.711746
0.2,2,16.719674
0.2,2,16.727012
0.2,5,16.756518
0.2,2,16.764447
0.2,2,16.775338
0.2,1,16.776882
0.2,6,16.81609
0.2,3,16.833273
0.2,2,16.841262
0.2,2,16.84923
0.2,1,16.850769
0.2,1,16.8523
0.2,2,16.860322
0.2,6,16.893707
0.2,3,16.921241
0.2,4,16.943856
0.2,5,16.974129
0.2,2,16.98148
0.2,2,16.992226
0.2,2,17.002895
0.2,4,17.023258
0.2,3,17.042983
0.2,1,17.044562
0.2,4,17.070156
0.2,6,17.10283
0.2,2,17.110837
0.2,9,17.164259
0.2,4,17.193275
0.2,4,17.213109
0.2,3,17.23204
0.2,3,17.245847
0.2,3,17.26032
0.2,4,17.281297
0.2,2,17.289238
0.2,1,17.290767
0.2,1,17.292297
0.2,3,17.306674
0.2,4,17.330464
0.2,6,17.363276
0.2,8,17.41213
0.2,2,17.420131
0.2,1,17.421666
0.2,2,17.43261
0.2,1,17.434151
0.2,1,17.435683
0.2,2,17.4466
0.2,1,17.448172
0.2,4,17.469172
0.2,2,17.477154
0.2,6,17.517277
0.2,3,17.534457
0.2,6,17.57393
0.2,2,17.578997
0.2,1,17.580541
0.2,11,17.650727
0.2,2,17.65871
0.2,4,17.684259
0.2,3,17.698049
0.2,1,17.699585
0.2,2,17.706929
0.2,3,17.721302
0.2,3,17.738474
0.2,5,17.76541
0.2,8,17.817996
0.2,1,17.819541
0.2,3,17.834013
0.2,5,17.866075
0.2,2,17.873391
0.2,8,17.924054
0.2,9,17.97539
0.2,7,18.022912
0.2,2,18.030927
0.2,3,18.04756
0.2,5,18.076931
0.2,4,18.097165
0.2,4,18.11742
0.2,3,18.130594
0.2,5,18.157498
0.2,2,18.168246
0.2,1,18.169782
0.2,2,18.177757
0.2,4,18.203368
0.2,9,18.261594
0.2,1,18.26313
0.2,1,18.264819
0.2,2,18.272824
0.2,1,18.274356
0.2,4,18.298643
0.2,2,18.306685
0.2,2,18.311726
0.2,1,18.313254
0.2,3,18.327624
0.2,2,18.335593
0.2,7,18.374131
0.2,4,18.397856
0.2,1,18.399396
0.2,7,18.442858
0.2,3,18.457142
0.2,4,18.477634
0.2,7,18.520787
0.2,2,18.53088
0.2,3,18.545332
0.2,1,18.546874
0.2,3,18.56404
0.2,3,18.578496
0.2,2,18.585781
0.2,2,18.593844
0.2,2,18.601838
0.2,3,18.620835
0.2,1,18.622368
0.2,7,18.675004
0.2,3,18.688748
0.2,1,18.690452
0.2,2,18.697773
0.2,2,18.705749
0.2,1,18.707286
0.2,1,18.70882
0.2,6,18.742013
0.2,1,18.743555
0.2,1,18.745094
0.2,8,18.797094
0.2,6,18.828015
0.2,3,18.845101
0.2,6,18.884787
0.2,3,18.901958
0.2,2,18.909398
0.2,1,18.910937
0.2,1,18.912641
0.2,2,18.920748
0.2,4,18.944455
0.2,2,18.95246
0.2,3,18.966898
0.2,1,18.96844
-0.8,7,19.008099
0.2,1,19.00964
0.2,6,19.050594
0.2,7,19.094666
0.2,6,19.125716
0.2,2,19.133002
0.2,2,19.141017
0.2,2,19.151828
0.2,2,19.162034
0.2,2,19.170053
0.2,1,19.171589
0.2,4,19.195412
0.2,1,19.196957
0.2,4,19.223798
0.2,6,19.263295
0.2,2,19.27133
0.2,8,19.324107
0.2,5,19.347999
0.2,7,19.388173
0.2,7,19.430833
0.2,2,19.440803
0.2,2,19.448784
0.2,1,19.45048
0.2,2,19.458488
0.2,6,19.496991
0.2,5,19.529018
0.2,1,19.530554
0.2,1,19.532089
0.2,5,19.558889
0.2,2,19.569629
0.2,5,19.599344
0.2,3,19.613238
0.2,1,19.614778
0.2,2,19.624773
0.2,1,19.626313
0.2,2,19.636998
0.2,2,19.644444
0.2,4,19.664242
0.2,1,19.665785
0.2,4,19.683264
0.2,3,19.699865
0.2,2,19.707933
0.2,4,19.731736
0.2,1,19.733281
0.2,4,19.756321
0.2,1,19.757856
0.2,9,19.819846
0.2,5,19.849401
0.2,2,19.856709
0.2,9,19.918962
0.2,2,19.926502
0.2,4,19.946889
0.2,1,19.948436
0.2,6,19.984438
0.2,1,19.985974
0.2,3,20.000414
0.2,3,20.013536
0.2,5,20.040529
0.2,1,20.042064
0.2,1,20.043607
0.2,1,20.045171
0.2,2,20.055886
0.2,1,20.057424
0.2,4,20.077711
0.2,5,20.109571
0.2,2,20.117584
0.2,1,20.119127
0.2,4,20.1406
0.2,2,20.148667
0.2,2,20.15371
0.2,16,20.274065
0.2,2,20.284823
0.2,4,20.305291
0.2,3,20.319752
0.2,3,20.333519
0.2,4,20.357148
0.2,1,20.358681
0.2,1,20.360219
0.2,3,20.374624
0.2,4,20.400253
0.2,14,20.499322
0.2,5,20.529741
0.2,2,20.537751
-0.8,11,20.605058
0.2,3,20.619565
0.2,6,20.659848
0.2,2,20.670671
0.2,3,20.691424
0.2,3,20.70593
0.2,4,20.723918
0.2,3,20.740366
0.2,1,20.741899
0.2,3,20.756499
0.2,1,20.758038
0.2,8,20.81829
0.2,1,20.819836
0.2,1,20.821368
0.2,3,20.838014
0.2,1,20.839549
0.2,3,20.852811
0.2,3,20.866604
0.2,1,20.86815
0.2,2,20.876102
0.2,4,20.89813
0.2,8,20.944254
0.2,2,20.95222
0.2,1,20.953756
0.2,2,20.962079
0.2,3,20.979822
0.2,1,20.981356
0.2,4,21.001855
0.2,2,21.009789
0.2,3,21.023302
0.2,5,21.048738
0.2,1,21.050278
0.2,2,21.058289
0.2,1,21.059821
0.2,5,21.088529
0.2,9,21.146497
0.2,7,21.196349
0.2,4,21.219706
0.2,3,21.233517
0.2,1,21.23505
0.2,6,21.273475
0.2,1,21.275014
0.2,2,21.283069
0.2,1,21.284615
0.2,3,21.298448
0.2,2,21.306385
0.2,3,21.324136
0.2,14,21.404513
0.2,1,21.40605
0.2,2,21.411119
0.2,12,21.489302
0.2,1,21.490844
0.2,2,21.498297
0.2,2,21.506257
0.2,10,21.578715
0.2,4,21.598303
0.2,1,21.599835
0.2,10,21.659802
0.2,1,21.66137
0.2,3,21.675881
0.2,1,21.677413
0.2,6,21.713552
0.2,3,21.727939
0.2,2,21.738602
0.2,2,21.749508
0.2,1,21.751225
0.2,1,21.752766
0.2,2,21.763541
0.2,1,21.765093
0.2,11,21.845073
0.2,12,21.923127
0.2,5,21.949531
0.2,5,21.982558
0.2,2,21.990564
0.2,4,22.010723
0.2,2,22.021443
0.2,2,22.029464
0.2,6,22.067673
0.2,3,22.082105
0.2,1,22.083646
0.2,3,22.101019
0.2,1,22.102561
0.2,6,22.138131
0.2,1,22.139671
0.2,2,22.150343
0.2,11,22.219995
0.2,4,22.246763
0.2,1,22.248309
0.2,3,22.266165
0.2,1,22.267712
0.2,1,22.26925
0.2,3,22.285657
0.2,5,22.316028
0.2,7,22.355561
0.2,2,22.366347
0.2,3,22.379885
0.2,1,22.381429
0.2,7,22.419906
0.2,1,22.421448
0.2,8,22.472501
0.2,1,22.474039
0.2,1,22.47557
0.2,6,22.511395
0.2,11,22.574325
0.2,6,22.610219
0.2,5,22.637017
0.2,1,22.638553
0.2,1,22.640248
0.2,2,22.648222
0.2,3,22.662691
0.2,5,22.688109
0.2,6,22.723396
0.2,2,22.734146
0.2,2,22.741509
0.2,5,22.769011
0.2,7,22.821934
0.2,5,22.859221
0.2,2,22.869391
0.2,5,22.895594
0.2,6,22.929552
0.2,1,22.931096
0.2,8,22.974266
0.2,1,22.975808
-2.8,28,23.166294
-0.8,12,23.23872
0.2,7,23.281949
0.2,2,23.289987
0.2,7,23.329098
0.2,1,23.330637
0.2,2,23.338678
0.2,3,23.356475
0.2,1,23.358004
0.2,1,23.35953
0.2,4,23.379849
0.2,1,23.381383
0.2,2,23.389544
0.2,6,23.432467
0.2,3,23.449831
0.2,2,23.457794
0.2,2,23.465802
0.2,3,23.48307
0.2,1,23.484617
0.2,3,23.501885
0.2,2,23.512605
0.2,2,23.520597
0.2,2,23.52859
0.2,1,23.530126
0.2,1,23.531653
-0.8,11,23.60914
0.2,2,23.617187
0.2,4,23.637579
0.2,6,23.670205
0.2,2,23.678226
0.2,6,23.713636
0.2,5,23.75299
0.2,2,23.760995
0.2,1,23.762534
0.2,2,23.773224
0.2,1,23.774752
0.2,2,23.782671
0.2,3,23.79644
0.2,5,23.830528
0.2,2,23.838656
0.2,1,23.840204
0.2,1,23.841731
0.2,4,23.862576
0.2,5,23.895808
0.2,4,23.919064
0.2,1,23.92062
0.2,1,23.922154
0.2,7,23.964929
0.2,4,23.991558
0.2,1,23.99311
0.2,2,24.00108
0.2,1,24.002617
0.2,8,24.048778
0.2,6,24.081655
0.2,19,24.207065
0.2,5,24.237113
0.2,1,24.238655
0.2,4,24.265039
0.2,7,24.305578
0.2,5,24.33762
0.2,3,24.352112
0.2,7,24.391545
0.2,2,24.402231
0.2,5,24.429007
0.2,2,24.437009
0.2,2,24.444976
0.2,2,24.452288
0.2,3,24.467023
0.2,9,24.524317
0.2,7,24.566992
0.2,5,24.596529
0.2,2,24.606571
0.2,6,24.640431
-1.8,8,24.682554
0.2,4,24.702192
0.2,1,24.703729
0.2,4,24.73053
0.2,4,24.750743
0.2,4,24.777162
0.2,1,24.778707
0.2,4,24.804331
0.2,1,24.80587
0.2,1,24.807397
0.2,1,24.808927
0.2,6,24.846781
0.2,2,24.85408
0.2,6,24.887805
0.2,2,24.895846
0.2,4,24.915596
0.2,6,24.954214
0.2,4,24.977382
0.2,6,25.010741
0.2,5,25.040132
0.2,1,25.041671
0.2,6,25.079928
0.2,1,25.081475
0.2,1,25.085893
0.2,4,25.113177
0.2,7,25.157696
0.2,5,25.191635
0.2,4,25.212559
0.2,1,25.214098
0.2,2,25.222088
0.2,2,25.229386
0.2,2,25.23738
0.2,1,25.238916
0.2,2,25.246194
0.2,2,25.256849
0.2,4,25.277982
0.2,8,25.33165
0.2,2,25.342352
0.2,12,25.421309
0.2,2,25.42932
0.2,3,25.443746
0.2,3,25.458125
0.2,4,25.476177
0.2,1,25.47772
0.2,2,25.488454
0.2,2,25.496502
0.2,2,25.503825
0.2,8,25.561626
0.2,2,25.569637
0.2,5,25.593707
0.2,1,25.595251
0.2,4,25.61764
0.2,2,25.62568
0.2,1,25.630083
0.2,8,25.674897
0.2,4,25.695395
0.2,3,25.709878
0.2,3,25.724278
0.2,1,25.725817
0.2,5,25.754638
0.2,3,25.774361
0.2,4,25.795164
0.2,3,25.814453
0.2,1,25.816158
0.2,2,25.826821
0.2,3,25.84121
0.2,1,25.842742
0.2,2,25.850801
0.2,3,25.870579
0.2,1,25.872119
0.2,1,25.873652
0.2,7,25.912812
0.2,2,25.923556
0.2,2,25.930882
0.2,2,25.938882
0.2,3,25.953256
0.2,4,25.977947
0.2,4,25.99582
0.2,8,26.045569
0.2,2,26.053555
0.2,6,26.093757
0.2,3,26.108215
0.2,5,27.544456
0.2,2,27.552569
0.2,6,27.589712
0.2,1,27.591271
0.2,2,27.602217
0.2,6,27.63871
0.2,2,27.646781
0.2,2,27.654125
0.2,1,27.655668
0.2,2,27.66376
0.2,5,27.690799
0.2,1,27.692358
