#{"t_start": 1635719273.7741396, "env_id": "WurtzReact-v1"}
r,l,t
1.093271,20,499.427132
1.09292,20,501.336152
1.092415,20,503.23377
1.091182,20,505.131934
1.090434,20,507.041514
1.089528,20,508.945766
1.08801,20,510.828551
1.086995,20,512.722401
1.086771,20,514.607329
1.086451,20,516.504086
1.085336,20,518.417925
1.08463,20,520.313644
1.084455,20,522.233618
1.084009,20,524.147948
1.084582,20,526.034794
1.083569,20,527.934883
1.082891,20,529.845229
1.082341,20,531.734793
1.082536,20,533.643827
1.081877,20,535.52845
1.080801,20,537.411381
1.08036,20,539.299317
1.078766,20,541.201007
1.079289,20,543.086658
1.079139,20,544.981303
1.077053,20,546.908572
1.075046,20,548.80221
1.074099,20,550.708024
1.073359,20,552.594849
1.073048,20,554.48608
1.072927,20,556.380456
1.072097,20,558.300005
1.071364,20,560.181907
1.069692,20,562.071113
1.068216,20,563.975954
1.066738,20,565.859908
1.06642,20,567.751745
1.065429,20,569.673059
1.064813,20,571.570851
1.064503,20,573.482929
1.064641,20,575.366985
1.064503,20,577.260757
1.063743,20,579.171118
1.062979,20,581.05773
1.062808,20,582.977007
1.061895,20,584.87568
1.060641,20,586.760188
1.059029,20,588.653491
1.057214,20,590.555162
1.057294,20,592.437489
1.058682,20,594.349706
1.058289,20,596.244677
1.056672,20,598.124011
1.055946,20,600.015368
1.055544,20,601.926581
1.055057,20,603.808427
1.054686,20,605.702028
1.052784,20,607.618221
1.053149,20,609.499112
1.052086,20,611.381731
1.050633,20,613.274873
1.050318,20,615.153548
1.048053,20,617.047171
1.046686,20,618.988022
1.045565,20,620.869952
1.044288,20,622.769015
1.043903,20,624.68015
1.042288,20,626.560068
1.040821,20,628.447086
1.039729,20,630.366797
1.038276,20,632.257641
1.037161,20,634.141202
1.035292,20,636.041627
1.034924,20,637.927033
1.035226,20,639.825925
1.035203,20,641.738753
1.034573,20,643.640186
1.034074,20,645.537292
1.034053,20,647.443774
1.033712,20,649.328948
1.033584,20,651.222799
1.033544,20,653.133203
1.032627,20,655.037769
1.031864,20,656.934841
1.031484,20,658.849095
1.031196,20,660.734771
1.030655,20,662.625301
1.030509,20,664.530646
1.030357,20,666.41751
1.029435,20,668.327239
1.029203,20,670.204136
1.028733,20,672.097016
1.028082,20,674.004521
1.026127,20,675.898301
1.02605,20,677.788047
1.025896,20,679.723428
1.02524,20,681.605986
1.024192,20,683.499766
1.023064,20,685.412696
1.02302,20,687.300576
1.02285,20,689.192098
1.02199,20,691.095478
1.022203,20,692.977215
1.022927,20,694.871786
1.022993,20,696.763446
1.022772,20,698.651064
1.022427,20,700.545704
1.021551,20,702.437294
1.021514,20,704.384038
1.021496,20,706.275577
1.020093,20,708.181775
1.019622,20,710.075584
1.019239,20,711.979837
1.019139,20,713.887811
1.019154,20,715.790592
1.018703,20,717.677452
1.018477,20,719.58839
1.018427,20,721.46438
1.018347,20,723.354911
1.018373,20,725.271934
1.017262,20,727.153251
1.016839,20,729.069101
1.015879,20,730.980981
1.014736,20,732.864129
1.01445,20,734.762886
1.013226,20,736.658967
1.012467,20,738.545359
1.011465,20,740.459861
1.010417,20,742.349137
1.009761,20,744.233423
1.009219,20,746.130244
1.009035,20,748.032883
1.008397,20,749.911963
1.008479,20,751.82961
1.008138,20,753.729023
1.006833,20,755.617066
1.005887,20,757.513338
1.00587,20,759.412611
1.005516,20,761.306739
1.005129,20,763.200229
1.004738,20,765.102669
1.004444,20,766.996919
1.004354,20,768.911545
1.002813,20,770.798459
1.002387,20,772.696662
1.001828,20,774.612514
1.000784,20,776.518115
1.000391,20,778.402225
1.000802,20,780.306514
1.000295,20,782.189108
0.998831,20,784.092815
0.998489,20,785.997564
0.996881,20,787.887611
0.99539,20,789.790542
0.993979,20,791.689663
0.993036,20,793.56764
0.992642,20,795.45931
0.990862,20,797.360493
0.989701,20,799.247349
0.98848,20,801.179678
0.988857,20,803.078616
0.988016,20,804.961437
0.987373,20,806.851523
0.986897,20,808.754208
0.986109,20,810.642205
0.985247,20,812.561509
0.983749,20,814.474956
0.982305,20,816.363114
0.9809,20,818.267339
0.980844,20,820.172964
0.980034,20,822.057981
0.979251,20,823.955702
0.978359,20,825.887852
0.977285,20,827.766036
0.976778,20,829.664144
0.976419,20,831.557328
0.975158,20,833.437348
0.974607,20,835.327671
0.973388,20,837.255923
0.972199,20,839.145622
0.971442,20,841.05116
0.970249,20,842.948218
0.968987,20,844.837962
0.968665,20,846.717054
0.967775,20,848.610345
0.967006,20,850.516254
0.965965,20,852.412826
0.965185,20,854.311229
0.964117,20,856.20164
0.963063,20,858.085964
0.961794,20,859.972349
0.961672,20,861.89389
0.960707,20,863.774895
0.959563,20,865.654398
0.959128,20,867.552432
0.959157,20,869.444423
0.958032,20,871.335588
0.956813,20,873.235492
0.955658,20,875.140255
0.954945,20,877.018199
0.954047,20,878.92035
0.952732,20,880.824694
0.951681,20,882.7019
0.951465,20,884.590152
0.951632,20,886.521813
0.951556,20,888.395909
0.950906,20,890.295533
0.94993,20,892.211386
0.948632,20,894.089403
0.94792,20,895.984337
0.947668,20,897.903437
0.946218,20,899.785784
0.944982,20,901.676339
0.945085,20,903.563268
0.943654,20,905.439328
0.942931,20,907.339555
0.941739,20,909.242148
0.940871,20,911.145632
0.940156,20,913.03567
0.939534,20,914.932324
0.93956,20,916.81994
0.939751,20,918.70816
0.940004,20,920.6226
0.938819,20,922.539199
0.937856,20,924.430371
0.93704,20,926.329986
0.935918,20,928.216432
0.935426,20,930.10709
0.935192,20,932.031684
0.934174,20,933.931913
0.932826,20,935.826103
0.932368,20,937.738605
0.932449,20,939.624564
0.931619,20,941.517086
0.930613,20,943.428758
0.930235,20,945.310759
0.929851,20,947.235688
0.928761,20,949.141376
0.928203,20,951.02106
0.928195,20,952.934991
0.927818,20,954.819158
0.926683,20,956.709869
0.92618,20,958.635267
0.925383,20,960.520059
0.924303,20,962.393382
0.923055,20,964.307297
0.922479,20,966.195373
0.922019,20,968.091741
0.921989,20,970.008084
0.921552,20,971.908437
0.920249,20,973.803095
0.919069,20,975.694673
0.918726,20,977.586114
0.918522,20,979.478712
0.917354,20,981.38281
0.916735,20,983.293533
0.916701,20,985.185147
0.916469,20,987.089799
0.916592,20,988.972963
0.916398,20,990.86504
0.916046,20,992.776058
0.915328,20,994.682661
0.91502,20,996.573069
0.913991,20,998.477083
0.913136,20,1000.366281
0.912091,20,1002.263153
0.911987,20,1004.163862
0.912815,20,1006.053695
0.912637,20,1007.9722
0.912486,20,1009.873267
0.912453,20,1011.759387
0.911749,20,1013.640967
0.911538,20,1015.543931
0.910982,20,1017.430847
0.909807,20,1019.349097
0.908658,20,1021.250029
0.9081,20,1023.139043
0.907666,20,1025.040367
0.907789,20,1026.949326
0.907895,20,1028.83987
0.907669,20,1030.736937
0.90673,20,1032.64827
0.906703,20,1034.52979
0.906866,20,1036.411048
0.906269,20,1038.306712
0.905852,20,1040.189099
0.906028,20,1042.090704
0.906269,20,1044.012425
0.90611,20,1045.914781
0.905063,20,1047.814583
0.904485,20,1049.689736
0.904218,20,1051.572754
0.903534,20,1053.478601
0.903247,20,1055.382509
0.902694,20,1057.278922
0.90185,20,1059.185909
0.901213,20,1061.070458
0.900849,20,1062.963552
0.900491,20,1064.864742
0.900278,20,1066.754335
0.899607,20,1068.671782
0.89893,20,1070.582231
0.898922,20,1072.461854
0.898595,20,1074.362371
0.89842,20,1076.267608
0.897957,20,1078.150964
0.897605,20,1080.06471
0.897882,20,1081.965639
0.897782,20,1083.847528
0.898552,20,1085.737538
0.898684,20,1087.639731
